Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      8.52     0.00   491425     0.00     9.19  oscilloscope::draw(sf::RenderWindow*)
  0.00      8.52     0.00   163688     0.00     0.00  element::drawLabel(sf::RenderWindow*)
  0.00      8.52     0.00    81968     0.00     0.00  slider::draw(sf::RenderWindow*)
  0.00      8.52     0.00    81957     0.00     0.00  button::draw(sf::RenderWindow*)
  0.00      8.52     0.00    81947     0.00     0.00  element::drawSprite(sf::RenderWindow*)
  0.00      8.52     0.00    81900     0.00     0.00  knob::draw(sf::RenderWindow*)
  0.00      8.52     0.00    81900     0.00     0.00  label::draw(sf::RenderWindow*)
  0.00      8.52     0.00     6706     0.00     0.00  element::moveAction(float, sf::RenderWindow*)
  0.00      8.52     0.00     6698     0.00     0.00  element::performAction(void (*)(int, float), float)
  0.00      8.52     0.00     1665     0.00     0.00  sf::Vector2<int>::Vector2()
  0.00      8.52     0.00      857     0.00     0.00  collection::triggerEvents(sf::RenderWindow*, sf::Event)
  0.00      8.52     0.00      839     0.00     0.00  collection::triggerMoveElement(sf::RenderWindow*, float)
  0.00      8.52     0.00      831     0.00     0.00  slider::moveAction(float, sf::RenderWindow*)
  0.00      8.52     0.00      830     0.00     0.00  knob::moveAction(float, sf::RenderWindow*)
  0.00      8.52     0.00      391     0.00     0.00  envelope::trigger(int, double)
  0.00      8.52     0.00      105     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_data() const
  0.00      8.52     0.00       94     0.00     0.00  element::getID()
  0.00      8.52     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > >::__normal_iterator(element** const&)
  0.00      8.52     0.00       59     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
  0.00      8.52     0.00       59     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_is_local() const
  0.00      8.52     0.00       59     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_local_data() const
  0.00      8.52     0.00       59     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00      8.52     0.00       59     0.00     0.00  std::pointer_traits<unsigned int const*>::pointer_to(unsigned int const&)
  0.00      8.52     0.00       59     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_dispose()
  0.00      8.52     0.00       59     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_Alloc_hider::~_Alloc_hider()
  0.00      8.52     0.00       59     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::~basic_string()
  0.00      8.52     0.00       59     0.00     0.00  unsigned int const* std::__addressof<unsigned int const>(unsigned int const&)
  0.00      8.52     0.00       59     0.00     0.00  unsigned int const* std::addressof<unsigned int const>(unsigned int const&)
  0.00      8.52     0.00       55     0.00     0.00  sf::String::~String()
  0.00      8.52     0.00       47     0.00     0.00  __gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > >::base() const
  0.00      8.52     0.00       46     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      8.52     0.00       46     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      8.52     0.00       46     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_destroy(unsigned long)
  0.00      8.52     0.00       46     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_get_allocator()
  0.00      8.52     0.00       35     0.00     0.00  element*& std::forward<element*&>(std::remove_reference<element*&>::type&)
  0.00      8.52     0.00       30     0.00     0.00  element** std::__niter_base<element**>(element**)
  0.00      8.52     0.00       27     0.00     0.00  __gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > >::operator+(long) const
  0.00      8.52     0.00       23     0.00     0.00  std::vector<element*, std::allocator<element*> >::begin()
  0.00      8.52     0.00       18     0.00     0.02  sf::VertexArray::~VertexArray()
  0.00      8.52     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<sf::Vertex>::~new_allocator()
  0.00      8.52     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<element* const*, std::vector<element*, std::allocator<element*> > >::base() const
  0.00      8.52     0.00       18     0.00     0.00  std::allocator<sf::Vertex>::~allocator()
  0.00      8.52     0.00       18     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sf::Vertex*>(sf::Vertex*, sf::Vertex*)
  0.00      8.52     0.00       18     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl::~_Vector_impl()
  0.00      8.52     0.00       18     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_deallocate(sf::Vertex*, unsigned long)
  0.00      8.52     0.00       18     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_get_Tp_allocator()
  0.00      8.52     0.00       18     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::~_Vector_base()
  0.00      8.52     0.00       18     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::~vector()
  0.00      8.52     0.00       18     0.00     0.00  void std::_Destroy<sf::Vertex*>(sf::Vertex*, sf::Vertex*)
  0.00      8.52     0.00       18     0.00     0.00  void std::_Destroy<sf::Vertex*, sf::Vertex>(sf::Vertex*, sf::Vertex*, std::allocator<sf::Vertex>&)
  0.00      8.52     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<element*>::max_size() const
  0.00      8.52     0.00       14     0.00     0.00  std::vector<element*, std::allocator<element*> >::end()
  0.00      8.52     0.00       13     0.00     0.00  sf::Rect<int>::Rect()
  0.00      8.52     0.00       11     0.00     0.00  collection::getPtrbyID(int)
  0.00      8.52     0.00       11     0.00     0.00  collection::getPtrbyIDX(int)
  0.00      8.52     0.00       11     0.00     0.00  collection::find(int)
  0.00      8.52     0.00       11     0.00     0.00  element::initImage(int, int)
  0.00      8.52     0.00       11     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_M_get_Tp_allocator()
  0.00      8.52     0.00       11     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      8.52     0.00       11     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      8.52     0.00       10     0.00     0.00  collection::add(element*)
  0.00      8.52     0.00       10     0.00     0.00  element::setID(int)
  0.00      8.52     0.00       10     0.00     0.00  element::element(int, int, int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int)
  0.00      8.52     0.00       10     0.00     0.00  void __gnu_cxx::new_allocator<element*>::construct<element*, element*&>(element**, element*&)
  0.00      8.52     0.00       10     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_M_get_Tp_allocator() const
  0.00      8.52     0.00       10     0.00     0.00  std::vector<element*, std::allocator<element*> >::max_size() const
  0.00      8.52     0.00       10     0.00     0.00  std::allocator_traits<std::allocator<element*> >::max_size(std::allocator<element*> const&)
  0.00      8.52     0.00       10     0.00     0.00  void std::allocator_traits<std::allocator<element*> >::construct<element*, element*&>(std::allocator<element*>&, element**, element*&)
  0.00      8.52     0.00       10     0.00     0.00  std::vector<element*, std::allocator<element*> >::_S_max_size(std::allocator<element*> const&)
  0.00      8.52     0.00       10     0.00     0.00  std::vector<element*, std::allocator<element*> >::_S_relocate(element**, element**, element**, std::allocator<element*>&)
  0.00      8.52     0.00       10     0.00     0.00  void std::vector<element*, std::allocator<element*> >::emplace_back<element*&>(element*&)
  0.00      8.52     0.00       10     0.00     0.00  std::vector<element*, std::allocator<element*> >::_S_do_relocate(element**, element**, element**, std::allocator<element*>&, std::integral_constant<bool, true>)
  0.00      8.52     0.00       10     0.00     0.00  std::vector<element*, std::allocator<element*> >::_S_use_relocate()
  0.00      8.52     0.00       10     0.00     0.00  std::vector<element*, std::allocator<element*> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      8.52     0.00       10     0.00     0.00  element** std::__relocate_a<element**, element**, std::allocator<element*> >(element**, element**, element**, std::allocator<element*>&)
  0.00      8.52     0.00       10     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<element*, void>::value, element**>::type std::__relocate_a_1<element*, element*>(element**, element**, element**, std::allocator<element*>&)
  0.00      8.52     0.00       10     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      8.52     0.00       10     0.00     0.00  operator new(unsigned long, void*)
  0.00      8.52     0.00        9     0.00     0.06  sf::Text::~Text()
  0.00      8.52     0.00        9     0.00     0.00  element::ftoa(float)
  0.00      8.52     0.00        9     0.00     0.12  element::~element()
  0.00      8.52     0.00        9     0.00     0.00  void __gnu_cxx::new_allocator<element*>::destroy<element*>(element**)
  0.00      8.52     0.00        9     0.00     0.00  __gnu_cxx::__normal_iterator<element* const*, std::vector<element*, std::allocator<element*> > >::__normal_iterator(element* const* const&)
  0.00      8.52     0.00        9     0.00     0.00  __gnu_cxx::__normal_iterator<element* const*, std::vector<element*, std::allocator<element*> > >::__normal_iterator<element**>(__gnu_cxx::__normal_iterator<element**, __gnu_cxx::__enable_if<std::__are_same<element**, element**>::__value, std::vector<element*, std::allocator<element*> > >::__type> const&)
  0.00      8.52     0.00        9     0.00     0.00  __gnu_cxx::__normal_iterator<element* const*, std::vector<element*, std::allocator<element*> > >::difference_type __gnu_cxx::operator-<element* const*, std::vector<element*, std::allocator<element*> > >(__gnu_cxx::__normal_iterator<element* const*, std::vector<element*, std::allocator<element*> > > const&, __gnu_cxx::__normal_iterator<element* const*, std::vector<element*, std::allocator<element*> > > const&)
  0.00      8.52     0.00        9     0.00     0.00  bool __gnu_cxx::operator!=<element**, std::vector<element*, std::allocator<element*> > >(__gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > > const&, __gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > > const&)
  0.00      8.52     0.00        9     0.00     0.00  std::vector<element*, std::allocator<element*> >::cbegin() const
  0.00      8.52     0.00        9     0.00     0.00  void std::allocator_traits<std::allocator<element*> >::destroy<element*>(std::allocator<element*>&, element**)
  0.00      8.52     0.00        9     0.00     0.00  std::vector<element*, std::allocator<element*> >::erase(__gnu_cxx::__normal_iterator<element* const*, std::vector<element*, std::allocator<element*> > >)
  0.00      8.52     0.00        9     0.00     0.00  std::vector<element*, std::allocator<element*> >::_M_erase(__gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > >)
  0.00      8.52     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sf::Vertex>::deallocate(sf::Vertex*, unsigned long)
  0.00      8.52     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<sf::Vertex> >::deallocate(std::allocator<sf::Vertex>&, sf::Vertex*, unsigned long)
  0.00      8.52     0.00        7     0.00     0.00  sf::ContextSettings::ContextSettings(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, bool)
  0.00      8.52     0.00        7     0.00     0.00  knob::initDisplay(int, int)
  0.00      8.52     0.00        6     0.00     0.00  oscilloscope::oscilloscope(int, int, int, int, float*, int, bool, float, sf::Color, sf::Color)
  0.00      8.52     0.00        6     0.00     0.00  knob::update()
  0.00      8.52     0.00        6     0.00     0.00  knob::getRange()
  0.00      8.52     0.00        6     0.00     0.00  frame::frame(int, int, int, int, sf::String)
  0.00      8.52     0.00        6     0.00     0.00  element::initCanvas(int, int)
  0.00      8.52     0.00        6     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_M_deallocate(element**, unsigned long)
  0.00      8.52     0.00        5     0.00     0.00  synth::getChannelFloatBuffer(int)
  0.00      8.52     0.00        5     0.00     0.00  effect::effect(int, effectType, double, double)
  0.00      8.52     0.00        5     0.00     0.00  effect::~effect()
  0.00      8.52     0.00        5     0.00     0.00  filter::calculateFeedbackAmount()
  0.00      8.52     0.00        5     0.00     0.00  filter::filter(mode, double, double)
  0.00      8.52     0.00        5     0.00     0.00  filter::~filter()
  0.00      8.52     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<element*>::deallocate(element**, unsigned long)
  0.00      8.52     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<element*>::allocate(unsigned long, void const*)
  0.00      8.52     0.00        5     0.00     0.00  __gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > >::difference_type __gnu_cxx::operator-<element**, std::vector<element*, std::allocator<element*> > >(__gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > > const&, __gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > > const&)
  0.00      8.52     0.00        5     0.00     0.00  std::vector<element*, std::allocator<element*> >::_M_check_len(unsigned long, char const*) const
  0.00      8.52     0.00        5     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_M_allocate(unsigned long)
  0.00      8.52     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<element*> >::deallocate(std::allocator<element*>&, element**, unsigned long)
  0.00      8.52     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<element*> >::allocate(std::allocator<element*>&, unsigned long)
  0.00      8.52     0.00        5     0.00     0.00  void std::vector<element*, std::allocator<element*> >::_M_realloc_insert<element*&>(__gnu_cxx::__normal_iterator<element**, std::vector<element*, std::allocator<element*> > >, element*&)
  0.00      8.52     0.00        5     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      8.52     0.00        4     0.00     0.00  knob::setValue(float)
  0.00      8.52     0.00        3     0.00     0.00  slider::update()
  0.00      8.52     0.00        3     0.00     0.00  slider::getRange()
  0.00      8.52     0.00        3     0.00     0.00  element::initLabel(int, int, sf::String)
  0.00      8.52     0.00        2     0.00     0.00  slider::setValue(float)
  0.00      8.52     0.00        2     0.00     0.00  channel::channel(int, double)
  0.00      8.52     0.00        2     0.00     0.00  channel::~channel()
  0.00      8.52     0.00        2     0.00     0.00  element::setMoveActionPtr(void (*)(int, float))
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10collectionC2Ev
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12oscilloscope4drawEPN2sf12RenderWindowE
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN2vu4drawEPN2sf12RenderWindowE
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4knob4drawEPN2sf12RenderWindowE
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5synthC2Eiiid
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6decodeC2Ev
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6effectC2Ei10effectTypedd
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6filterC2E4modedd
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8envelopeC2Ei
  0.00      8.52     0.00        1     0.00     0.00  _GLOBAL__sub_I_buffersize
  0.00      8.52     0.00        1     0.00     0.00  setOscScale(int, float)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.52     0.00        1     0.00     0.00  setVolume(int, float)
  0.00      8.52     0.00        1     0.00     0.00  collection::collection()
  0.00      8.52     0.00        1     0.00     0.00  lockbutton::lockbutton(int, int, int, int, sf::String, sf::String, sf::String)
  0.00      8.52     0.00        1     0.00     0.00  oscilloscope::setScale(float)
  0.00      8.52     0.00        1     0.00     0.00  sf::Vector2<float>::Vector2()
  0.00      8.52     0.00        1     0.00     0.00  knob::setMax(float)
  0.00      8.52     0.00        1     0.00     0.00  knob::setMin(float)
  0.00      8.52     0.00        1     0.00     0.00  knob::knob(int, int, sf::String, int, int)
  0.00      8.52     0.00        1     0.00     0.00  label::init(int, int, sf::String, bool)
  0.00      8.52     0.00        1     0.00     0.00  label::initLabel(int, int, sf::String)
  0.00      8.52     0.00        1     0.00     0.00  label::label(int, int, sf::String, bool)
  0.00      8.52     0.00        1     0.00     0.00  synth::getFloatBufferPtr()
  0.00      8.52     0.00        1     0.00     0.00  synth::getVolume()
  0.00      8.52     0.00        1     0.00     0.00  synth::setVolume(double)
  0.00      8.52     0.00        1     0.00     0.00  synth::synth(int, int, int, double)
  0.00      8.52     0.00        1     0.00     0.00  button::button(int, int, int, int, sf::String, sf::String, sf::String)
  0.00      8.52     0.00        1     0.00     0.00  decode::decode()
  0.00      8.52     0.00        1     0.00     0.00  slider::setMax(float)
  0.00      8.52     0.00        1     0.00     0.00  slider::setMin(float)
  0.00      8.52     0.00        1     0.00     0.00  slider::slider(int, int, sf::String, int, int)
  0.00      8.52     0.00        1     0.00     0.00  element::initOverlay(int, int)
  0.00      8.52     0.00        1     0.00     0.00  element::setClickActionPtr(void (*)(int, float))
  0.00      8.52     0.00        1     0.00     0.00  element::setReleaseActionPtr(void (*)(int, float))
  0.00      8.52     0.00        1     0.00     0.00  envelope::envelope(int)
  0.00      8.52     0.00        1     0.00     0.00  envelope::~envelope()
  0.00      8.52     0.00        1     0.00     0.00  vector2f::vector2f()
  0.00      8.52     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<element*>::new_allocator()
  0.00      8.52     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<element*>::~new_allocator()
  0.00      8.52     0.00        1     0.00     0.00  std::allocator<element*>::allocator()
  0.00      8.52     0.00        1     0.00     0.00  std::allocator<element*>::~allocator()
  0.00      8.52     0.00        1     0.00     0.00  void std::_Destroy_aux<true>::__destroy<element**>(element**, element**)
  0.00      8.52     0.00        1     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_Vector_impl::_Vector_impl()
  0.00      8.52     0.00        1     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_Vector_impl::~_Vector_impl()
  0.00      8.52     0.00        1     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_Vector_impl_data::_Vector_impl_data()
  0.00      8.52     0.00        1     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::_Vector_base()
  0.00      8.52     0.00        1     0.00     0.00  std::_Vector_base<element*, std::allocator<element*> >::~_Vector_base()
  0.00      8.52     0.00        1     0.00     0.00  std::vector<element*, std::allocator<element*> >::vector()
  0.00      8.52     0.00        1     0.00     0.00  std::vector<element*, std::allocator<element*> >::~vector()
  0.00      8.52     0.00        1     0.00     0.00  void std::_Destroy<element**>(element**, element**)
  0.00      8.52     0.00        1     0.00     0.00  void std::_Destroy<element**, element*>(element**, element**, std::allocator<element*>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2019 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.12% of 8.52 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     53.1    0.00    4.53                 main [1]
                0.01    4.52   81840/81840       collection::drawAll(sf::RenderWindow*) [2]
                0.00    0.00     857/857         collection::triggerEvents(sf::RenderWindow*, sf::Event) [48]
                0.00    0.00      10/55          sf::String::~String() [66]
                0.00    0.00      10/10          collection::add(element*) [97]
                0.00    0.00      10/11          collection::getPtrbyID(int) [90]
                0.00    0.00       6/6           oscilloscope::oscilloscope(int, int, int, int, float*, int, bool, float, sf::Color, sf::Color) [129]
                0.00    0.00       5/5           synth::getChannelFloatBuffer(int) [135]
                0.00    0.00       2/2           element::setMoveActionPtr(void (*)(int, float)) [157]
                0.00    0.00       1/1           setVolume(int, float) [179]
                0.00    0.00       1/7           sf::ContextSettings::ContextSettings(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, bool) [127]
                0.00    0.00       1/1           synth::getFloatBufferPtr() [190]
                0.00    0.00       1/1           label::label(int, int, sf::String, bool) [189]
                0.00    0.00       1/1           slider::slider(int, int, sf::String, int, int) [198]
                0.00    0.00       1/1           slider::setMin(float) [197]
                0.00    0.00       1/1           slider::setMax(float) [196]
                0.00    0.00       1/2           slider::setValue(float) [154]
                0.00    0.00       1/1           setOscScale(int, float) [168]
                0.00    0.00       1/1           knob::knob(int, int, sf::String, int, int) [186]
                0.00    0.00       1/1           knob::setMin(float) [185]
                0.00    0.00       1/1           knob::setMax(float) [184]
                0.00    0.00       1/4           knob::setValue(float) [150]
                0.00    0.00       1/1           synth::getVolume() [191]
                0.00    0.00       1/1           lockbutton::lockbutton(int, int, int, int, sf::String, sf::String, sf::String) [181]
                0.00    0.00       1/1           element::setClickActionPtr(void (*)(int, float)) [200]
                0.00    0.00       1/1           element::setReleaseActionPtr(void (*)(int, float)) [201]
-----------------------------------------------
                0.01    4.52   81840/81840       main [1]
[2]     53.1    0.01    4.52   81840         collection::drawAll(sf::RenderWindow*) [2]
                0.00    4.52  491425/491425      oscilloscope::draw(sf::RenderWindow*) [3]
                0.00    0.00  900283/909595      std::vector<element*, std::allocator<element*> >::size() const [37]
                0.00    0.00  818446/826933      std::vector<element*, std::allocator<element*> >::operator[](unsigned long) [38]
                0.00    0.00   81968/81968       slider::draw(sf::RenderWindow*) [40]
                0.00    0.00   81957/81957       button::draw(sf::RenderWindow*) [41]
                0.00    0.00   81900/81900       knob::draw(sf::RenderWindow*) [43]
                0.00    0.00   81900/81900       label::draw(sf::RenderWindow*) [44]
-----------------------------------------------
                0.00    4.52  491425/491425      collection::drawAll(sf::RenderWindow*) [2]
[3]     53.0    0.00    4.52  491425         oscilloscope::draw(sf::RenderWindow*) [3]
                3.57    0.93  491396/491396      oscilloscope::drawCurve() [4]
                0.01    0.01  491093/491111      sf::Sprite::~Sprite() [20]
-----------------------------------------------
                3.57    0.93  491396/491396      oscilloscope::draw(sf::RenderWindow*) [3]
[4]     52.8    3.57    0.93  491396         oscilloscope::drawCurve() [4]
                0.93    0.00 583517486/583517486     sf::Vector2<float>::Vector2(float, float) [7]
-----------------------------------------------
                                                 <spontaneous>
[5]     46.8    0.38    3.61                 synth::onGetData(sf::SoundStream::Chunk&) [5]
                2.43    0.00 10303888/10303888     decode::getFreq(int, double, bool) [6]
                0.48    0.00 15458746/15458746     envelope::getVolume(int, double) [8]
                0.16    0.15 10309129/10309129     channel::get(double, int, double) [9]
                0.11    0.00 5153429/5153429     filter::getFiltered(double) [11]
                0.07    0.00 5154195/5154195     std::isnan(double) [12]
                0.06    0.00 5154483/5154483     decode::getSubVolume(int) [13]
                0.04    0.00 5153322/5153322     decode::getVolume(int) [14]
                0.03    0.00 5154489/5154489     decode::isStriked(int) [15]
                0.03    0.00 5154015/5154015     decode::getWaveform(int) [16]
                0.03    0.00 5153087/5153087     decode::getSubWaveform(int) [17]
                0.02    0.00 5154724/5154724     effect::getEffect(double) [18]
                0.01    0.00 5153347/5153347     decode::isfreqModulated(int) [22]
                0.00    0.00 5152677/5152677     envelope::getCurrentTime(int, double) [36]
                0.00    0.00     391/391         envelope::trigger(int, double) [52]
-----------------------------------------------
                2.43    0.00 10303888/10303888     synth::onGetData(sf::SoundStream::Chunk&) [5]
[6]     28.5    2.43    0.00 10303888         decode::getFreq(int, double, bool) [6]
-----------------------------------------------
                0.93    0.00 583517486/583517486     oscilloscope::drawCurve() [4]
[7]     10.9    0.93    0.00 583517486         sf::Vector2<float>::Vector2(float, float) [7]
-----------------------------------------------
                0.48    0.00 15458746/15458746     synth::onGetData(sf::SoundStream::Chunk&) [5]
[8]      5.6    0.48    0.00 15458746         envelope::getVolume(int, double) [8]
-----------------------------------------------
